Human-Readable Term,Reduction Steps,Normal Form,Normal Form Size
S(SS)SSSS,N/A,N/A,N/A
SSS(SS)SS,N/A,N/A,N/A
SSS(S(SS))S,7,S(S(S(S(SS))S))(S(S(S(S(SS))S)(S(S(S(S(SS))S))))(S(S(S(S(SS))S))(S(S(S(SS))S)(S(S(S(S(SS))S)))))),41
S(S(SS))SSS,15,S(S(SS(S(SS)S)))(S(S(SS(S(SS)S)))(S(S(S(SS(S(SS)S))))(S(SS(S(SS)S))(S(S(SS(S(SS)S))))))),40
S(SS)S(SS)S,14,S(S(SS(S(SS)S)))(S(S(SS(S(SS)S)))(S(S(S(SS(S(SS)S))))(S(SS(S(SS)S))(S(S(SS(S(SS)S))))))),40
SSS(S(SS))K,9,S(K(S(S(SS))K))(S(S(S(SS))K)(K(S(S(SS))K))),19
S(S(SSS))SS,5,S(S(SS)(S(SS)))(S(SS)(S(SS)(S(SS)))),16
S(SSS)S(SS),4,S(S(SS)(S(SS)))(S(SS)(S(SS)(S(SS)))),16
S(S(SS))(SS)S,4,S(S(SSS))(S(S(SSS))(S(S(SSS)))),15
S(SS)S(SSS),3,S(S(SSS))(S(S(SSS))(S(S(SSS)))),15
S(S(SS))SSK,11,S(K(SK(S(SS)K)))(K(SK(S(SS)K))),15
S(SS)S(SS)K,10,S(K(SK(S(SS)K)))(K(SK(S(SS)K))),15
S(S(SS))(SS)K,4,S(K(SSK))(S(K(SSK))(K(K(SSK)))),15
S(SS)S(SSK),3,S(S(SSK))(S(S(SSK))(K(S(SSK)))),15
S(SS)K(SSS),3,S(K(SSS))(S(K(SSS))(S(K(SSS)))),15
S(SS)K(SSK),3,S(K(SSK))(S(K(SSK))(K(K(SSK)))),15
S(S(S(SS)))SS,4,S(SS(S(SS)))(S(SS)(SS(S(SS)))),14
S(S(SS))S(SS),3,S(SS(S(SS)))(S(SS)(SS(S(SS)))),14
S(S(SS))S(SK),3,S(SK(S(SK)))(S(SK)(SK(S(SK)))),14
S(SS)(SS)SS,5,S(S(SSS)S)(SS(S(SSS)S)),13
S(S(SS)S)SS,5,S(S(SS)(SS))(SS(S(SS)(SS))),13
SSS(SSS)S,4,S(S(SSS)S)(SS(S(SSS)S)),13
S(SS)SS(SS),4,S(S(SS)(SS))(SS(S(SS)(SS))),13
SSS(SS)(SS),3,S(S(SS)(SS))(SS(S(SS)(SS))),13
S(SS)SS(SK),4,S(S(SS)(SK))(SK(S(SS)(SK))),13
SSS(SS)(SK),3,S(S(SS)(SK))(SK(S(SS)(SK))),13
S(SSS)SSS,7,S(SS(SSS))(S(SS(SSS))),12
SSSS(SS)S,6,S(SS(SSS))(S(SS(SSS))),12
SS(SS)(SS)S,5,S(SS(SSS))(S(SS(SSS))),12
S(SS)S(S(SS)),2,S(S(S(SS)))(S(SS)(S(S(SS)))),12
S(SSS)SSK,7,S(SK(SSK))(K(SK(SSK))),12
SSSS(SS)K,6,S(SK(SSK))(K(SK(SSK))),12
SS(SS)(SS)K,5,S(SK(SSK))(K(SK(SSK))),12
S(SS)S(S(SK)),2,S(S(S(SK)))(S(SK)(S(S(SK)))),12
S(SS)S(S(KS)),2,S(S(S(KS)))(S(KS)(S(S(KS)))),12
S(SS)S(S(KK)),2,S(S(S(KK)))(S(KK)(S(S(KK)))),12
S(SS)K(S(SS)),2,S(K(S(SS)))(S(SS)(K(S(SS)))),12
S(SS)K(S(SK)),2,S(K(S(SK)))(S(SK)(K(S(SK)))),12
S(SS)K(S(KS)),2,S(K(S(KS)))(S(KS)(K(S(KS)))),12
S(SS)K(S(KK)),2,S(K(S(KK)))(S(KK)(K(S(KK)))),12
SSK(S(SS))S,7,S(S(S(SS)))(S(SS)(S(S(SS)))),12
SSK(S(SS))K,7,S(K(S(SS)))(S(SS)(K(S(SS)))),12
S(SS)(SS)(SS),2,S(SS(SS))(SS(SS(SS))),11
S(S(SS)SSS),4,S(S(S(SS)S)(S(S(SS)S))),11
S(SSS(SS)S),3,S(S(S(SS)S)(S(S(SS)S))),11
S(SS)(SS)(SK),2,S(SS(SK))(SK(SS(SK))),11
S(S(SS)SSK),4,S(S(S(SS)K)(K(S(SS)K))),11
S(SSS(SS)K),3,S(S(S(SS)K)(K(S(SS)K))),11
S(SS)(SK)(SS),2,S(SK(SS))(SS(SK(SS))),11
S(SS)(SK)(SK),2,S(SK(SK))(SK(SK(SK))),11
K(S(SS)SSS),4,K(S(S(SS)S)(S(S(SS)S))),11
K(SSS(SS)S),3,K(S(S(SS)S)(S(S(SS)S))),11
K(S(SS)SSK),4,K(S(S(SS)K)(K(S(SS)K))),11
K(SSS(SS)K),3,K(S(S(SS)K)(K(S(SS)K))),11
S(SS)(SSS)S,4,S(SS(SS))(S(SS(SS))),10
S(SS)(S(SS))S,2,S(S(SS)S)(S(S(SS)S)),10
SSS(SSSS),3,S(SS(SS))(S(SS(SS))),10
SSS(S(SS)S),1,S(S(SS)S)(S(S(SS)S)),10
SSS(SS(SS)),1,S(SS(SS))(S(SS(SS))),10
SSS(S(SSS)),1,S(S(SSS))(S(S(SSS))),10
SSS(S(S(SS))),1,S(S(S(SS)))(S(S(S(SS)))),10
S(S(S(SS))SS),3,S(S(S(SS))(SS(S(SS)))),10
S(S(SS)S(SS)),2,S(S(S(SS))(SS(S(SS)))),10
S(SS)(SSS)K,4,S(SK(SK))(K(SK(SK))),10
S(SS)(S(SS))K,2,S(S(SS)K)(K(S(SS)K)),10
SSS(SSSK),3,S(SK(SK))(S(SK(SK))),10
SSS(S(SS)K),1,S(S(SS)K)(S(S(SS)K)),10
SSS(SS(SK)),1,S(SS(SK))(S(SS(SK))),10
SSS(S(SSK)),1,S(S(SSK))(S(S(SSK))),10
SSS(S(S(SK))),1,S(S(S(SK)))(S(S(S(SK)))),10
S(S(S(SS))SK),3,S(S(K(SK))(SK(K(SK)))),10
S(S(SS)S(SK)),2,S(S(S(SK))(SK(S(SK)))),10
S(SS)(SSK)S,4,S(SS(KS))(S(SS(KS))),10
S(SS)(S(SK))S,2,S(S(SK)S)(S(S(SK)S)),10
